cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi
depresjon,rf,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14685962870894376,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06672372137643313,0.22567516441752522,,,,,,,,
depresjon,xgboost,subject_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.7216634429400386,0.01345341113941194,0.6696473743938924,0.014188727798819974,0.6761506385002216,0.01500678029202813,0.3606999717053738,0.030583945509700835,0.7445810378623748,0.02654521266214585,0.6251135182727444,0.021285755161608324,0.20201191977493696,0.01050803902362066,0.43337476428011906,0.0689855231857774,0.2902783588521854,0.08450749981000802,0.12255007223508949,0.016266783698248077,55.0,0.0,0.41818181818181815,0.0,0.7727272727272727,0.024618298195866556,0.7398777173913043,0.027456355980629243,0.7460245539023072,0.029924821915284956,0.5400279470295495,0.05411891829391877,0.8619565217391303,0.03191055182193409,0.8394766147961006,0.03490481955920266,0.15922625652651337,0.010110623909471293,1.4305201192951436,0.48229486579437564,0.364613076960998,0.06596085271395002,0.15985996196554467,0.02054261659054617,55.0,0.0,0.6749676537342599,0.8423242182615843,0.7946287693428353,0.9472665898432105,0.623847880062484,0.7947755628007814,0.7027027027027027,0.868421052631579,0.588683936488651,0.7524039569315996,0.6650386897896612,0.8564593301435407,0.14466281089760225,0.26243674627994035,0.11632365871907613,0.19047010739642878,0.3322869418090723,0.760322626433286,1.2549534770060962,2.8316878712066966
depresjon,xgboost,record_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.8021276595744681,0.008396554788446023,0.7702676158052204,0.009202148441262591,0.7763141670602345,0.009359344910076622,0.5549455137547323,0.0188044508718238,0.872265965129475,0.0033607179065808603,0.7818422203950508,0.006484390050048803,0.13705741085258766,0.0020095818949966036,0.8191189913165557,0.016229470080455926,0.07334078346269299,0.031858469527443346,0.03933633867424023,0.008498624834932827,55.0,0.0,0.41818181818181815,0.0,0.8854545454545454,0.017248787237282077,0.864266304347826,0.019764235376052357,0.876220641499575,0.01942752021608992,0.7767331329986258,0.0343144675487657,0.9828804347826086,0.002949061702191981,0.9772979159355671,0.004472730037386643,0.09689122255290694,0.0015985827055085063,4.77384255160607,0.9455890928563608,0.21358418438023982,0.02616239049850736,0.19375747763297774,0.012665024883376327,55.0,0.0,0.8296672518429984,0.9180281622736456,0.9638157894736842,1.0,0.7516341188247322,0.8613537586335676,0.8333333333333334,0.9497862566134234,0.7320945061680125,0.8375649955654993,0.8193979933110368,0.9637031809190171,0.10344079003539057,0.16855895702979853,0.07490988346661612,0.11637835588402737,0.710045313697944,1.0886778626866846,3.5487272219891515,12.570399655515535
depresjon,xgboost,inflation,,,,,,,,,,,,,,,0.11437119570824306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05958216668232488,0.18080555964085435,,,,,,,,,,,,,,,,,,
depresjon,xgboost,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11141304347826075,,,,,,,,,,,,,,,,0.040433491540428954,0.1754425125313283,,,,,,,,,,,,,,,,
depresjon,xgboost,inflation,,,,,,,0.09090909090909094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05100635035797996,0.14210022792477064,,,,,,,,,,,,,,
depresjon,xgboost,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10909090909090902,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,0.17142857142857137,,,,,,,,,,,,
depresjon,xgboost,inflation,,,,,,,,,,,0.11249335728867105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06041058680343268,0.17429573128718545,,,,,,,,,,
depresjon,xgboost,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12337092731829569,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03910645345554347,0.19437378012420548,,,,,,,,
psykose,majority,subject_wise,54.0,1021.0,1021.0,0.0,0.3388834476003918,0.0,0.6611165523996083,1.1702778228589004e-16,0.5,0.0,0.3979952830188679,5.851389114294502e-17,0.0,0.0,0.47598244487261826,0.005231746843403806,0.3261480916459772,0.0025701263018123245,0.2242710534724714,9.378044059732807e-05,-3.95457053048093,0.010809583106793278,0.0005936003425615324,0.00016833088876794356,0.0001329636747952223,3.770789878716245e-05,54.0,0.0,0.40740740740740733,5.851389114294502e-17,0.5925925925925926,0.0,0.5,0.0,0.3720930232558139,5.851389114294502e-17,0.0,0.0,0.46555397727272735,0.015067125605245563,0.38813467586679773,0.01193653786270271,0.24647525011964042,0.00016589599210510054,-4.502103788830289,2.4817610243094914,0.2943158702506582,0.0004063087669739385,0.06868071026848235,9.420433586374149e-05,54.0,0.0,0.26748118780115077,0.6320381980537954,0.27765847393483245,0.5574339192065926,0.5273067022608496,0.7874720422262225,0.5,0.6944444444444444,0.34530093153524855,0.44056834813498597,0.3333333333333333,0.4098360655737705,0.1833937969640729,0.26759105963464597,0.21371146808484284,0.27647280365667354,-119.38288227315562,57.58900008938292,-97.80299153977127,24.91889400663794
